covariate,coef,exp(coef),p,coef lower 95%,coef upper 95%
Neoplasm Histologic Grade,0.0676824435385946,1.0700254610222366,0.2376529782061708,-0.04465401857591765,0.18001890565310685
Lymph nodes examined positive,0.03708068808617201,1.0377767536801186,1.989480827820182e-07,0.02310523192002823,0.051056144252315784
Tumor Size,0.00567931453991896,1.005695472420821,0.0028121079698560977,0.001953451755525399,0.00940517732431252
Chemotherapy_NO,0.11856899449466636,1.1258845512579732,0.3711890146890554,-0.14130395059812745,0.37844193958746014
Chemotherapy_YES,-0.11878098179628213,0.8880022681268888,0.3704452665004163,-0.37871415181669366,0.14115218822412937
Hormone Therapy_NO,-0.0299852232887158,0.970459873647924,0.7836434579456688,-0.24402564150521464,0.18405519492778302
Hormone Therapy_YES,0.029970602238935704,1.0304242413426097,0.7837353632042984,-0.18405868278023285,0.24399988725810423
Radio Therapy_NO,0.13039852445079,1.1392823247279966,0.22266817204083778,-0.07918243398964461,0.3399794828912246
Radio Therapy_YES,-0.1303479690922817,0.8777899340053519,0.22283220935189202,-0.3399219707923629,0.07922603260779953
HER2 Status_Negative,-0.10540746409481212,0.8999577473985673,0.5062248713711349,-0.4162037939470803,0.20538886575745607
HER2 Status_Positive,0.1057731450164336,1.1115696827797905,0.5048725322045634,-0.2051120376772399,0.4166583277101071
PR Status_Negative,0.07698787378561439,1.0800289796502436,0.46880985705808853,-0.13130857799030576,0.28528432556153455
PR Status_Positive,-0.07697991984202684,0.925908445807688,0.4688510252052739,-0.2852741381480252,0.13131429846397152
