covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Neoplasm Histologic Grade,0.0676824435385946,1.0700254610222366,0.05731557467413072,-0.04465401857591765,0.18001890565310685,0.9563282964278361,1.1972399975119292,0.0,1.1808735046870766,0.2376529782061708,2.0730716136495917
Lymph nodes examined positive,0.03708068808617201,1.0377767536801186,0.007130465802627188,0.02310523192002823,0.051056144252315784,1.023374225515776,1.0523819768238272,0.0,5.2003177790306205,1.989480827820182e-07,22.261104668040918
Tumor Size,0.00567931453991896,1.005695472420821,0.0019009853312523554,0.001953451755525399,0.00940517732431252,1.0019553609853997,1.0094495449907337,0.0,2.987563579029549,0.0028121079698560977,8.474132297440258
Chemotherapy_NO,0.11856899449466636,1.1258845512579732,0.1325906736769851,-0.14130395059812745,0.37844193958746014,0.8682253739659577,1.4600080356682474,0.0,0.8942483751422963,0.3711890146890554,1.4297740802412118
Chemotherapy_YES,-0.11878098179628213,0.8880022681268888,0.13262140124549798,-0.37871415181669366,0.14115218822412937,0.6847413167555458,1.1515998945920365,0.0,-0.8956396228720612,0.3704452665004163,1.4326676956264341
Hormone Therapy_NO,-0.0299852232887158,0.970459873647924,0.10920630169983854,-0.24402564150521464,0.18405519492778302,0.7834675447181673,1.2020821701038436,0.0,-0.2745741117681319,0.7836434579456688,0.35173068857306633
Hormone Therapy_YES,0.029970602238935704,1.0304242413426097,0.10920062139274203,-0.18405868278023285,0.24399988725810423,0.8318869849531555,1.2763441865919833,0.0,0.2744545027005468,0.7837353632042984,0.3515615000409524
Radio Therapy_NO,0.13039852445079,1.1392823247279966,0.10693102531147639,-0.07918243398964461,0.3399794828912246,0.923871363531167,1.40491876539676,0.0,1.2194638933925472,0.22266817204083778,2.1670327393679787
Radio Therapy_YES,-0.1303479690922817,0.8777899340053519,0.10692747588893174,-0.3399219707923629,0.07922603260779953,0.711825863803798,1.082448963182797,0.0,-1.2190315726490861,0.22283220935189202,2.165970312327472
HER2 Status_Negative,-0.10540746409481212,0.8999577473985673,0.15857246985342077,-0.4162037939470803,0.20538886575745607,0.6595458453362371,1.2280025002504618,0.0,-0.6647273905252743,0.5062248713711349,0.9821497045420322
HER2 Status_Positive,0.1057731450164336,1.1115696827797905,0.15861780376879175,-0.2051120376772399,0.4166583277101071,0.8145560503310293,1.5168841471044638,0.0,0.6668428291354555,0.5048725322045634,0.9860089057736863
PR Status_Negative,0.07698787378561439,1.0800289796502436,0.1062756527257317,-0.13130857799030576,0.28528432556153455,0.8769471260533691,1.3301401672115838,0.0,0.7244168519416105,0.46880985705808853,1.0929251911269442
PR Status_Positive,-0.07697991984202684,0.925908445807688,0.10627451317932196,-0.2852741381480252,0.13131429846397152,0.7518081267794169,1.1403261277455505,0.0,-0.724349776245364,0.4688510252052739,1.0927985076255877
