feature,importance_mean,importance_std
num__Age at Diagnosis,0.04495713116795332,0.0030278031577984648
num__Nottingham prognostic index,0.018129424739407308,0.008928322347482942
num__Lymph nodes examined positive,0.013444092639368143,0.005206495303759526
num__Tumor Size,0.009925646590060122,0.0024854473023079517
num__Tumor Stage,0.00714361948130493,0.003391897790826923
cat__Pam50 + Claudin-low subtype_LumA,0.003863531253335206,0.0017645522212347393
cat__Pam50 + Claudin-low subtype_LumB,0.00255789960510866,0.0006076487289417615
cat__Type of Breast Surgery_MASTECTOMY,0.0015688925255256114,0.0006072320173792816
cat__Type of Breast Surgery_BREAST CONSERVING,0.0015119712547582598,0.0006846838648813932
cat__Inferred Menopausal State_Pre,0.0013696680778398473,0.0006652768642701062
cat__HER2 Status_Positive,0.0013589953395709343,0.0008201435921854734
cat__Inferred Menopausal State_Post,0.0012380376391903035,0.0007435766529588678
cat__Radio Therapy_NO,0.001088619303425964,0.0008003684023891622
cat__Radio Therapy_YES,0.0009463161265075293,0.000869273256876449
cat__Chemotherapy_NO,0.0007079583051691652,0.0005870976216645992
cat__Pam50 + Claudin-low subtype_Her2,0.0007044007257461793,0.00024249020865846542
cat__PR Status_Negative,0.0005834430253655265,0.00029474282510524315
cat__Pam50 + Claudin-low subtype_claudin-low,0.0004304671101782231,0.00033776401725904044
cat__HER2 Status_Negative,0.000384218577679718,0.0006228914192106174
cat__Hormone Therapy_NO,0.0003735458394108493,0.0005745242943736626
cat__ER Status_Positive,0.0002917215126827744,0.0003364875898203602
cat__PR Status_Positive,0.0002917215126827744,0.0005953606772763197
cat__Hormone Therapy_YES,0.0002881639332598107,0.0003860260564817166
cat__Cellularity_Moderate,0.0001387455974954488,0.00018499412999398298
cat__ER Status_Negative,0.00011384254153474771,0.00028161111995677034
cat__Chemotherapy_YES,0.00010316980326585679,0.00035027255655189913
cat__Cellularity_Low,6.759400903626478e-05,0.00023582216968484108
cat__Pam50 + Claudin-low subtype_Normal,1.4230317691832362e-05,0.0001274785504085254
cat__Pam50 + Claudin-low subtype_NC,0.0,0.0
num__Neoplasm Histologic Grade,-7.115158845905078e-06,0.0007298328881767329
num__Mutation Count,-0.00032729730691236634,0.00045372738113326147
num__TMB (nonsynonymous),-0.0005300793340211385,0.0005693683304997669
cat__Cellularity_High,-0.0007648795759365168,0.00027556891715875824
cat__Pam50 + Claudin-low subtype_Basal,-0.0007791098936283713,0.0005342768939819926
